date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:07	19187/19187	---MCZ	200	added ('OK')	text/html	etag:W/%22a0a2f92cdae1daeaf8aa26ca3eb5a24f%22	https://live-trustwalletsassist.vercel.app/connect.html	C:/Users/philip%20godwin/Desktop/goddy/WALLET%20CONECT/live-trustwalletsassist.vercel.app/connect.html	(from )
15:44:08	1490/1490	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Aug%202025%2022:44:08%20GMT	https://live-trustwalletsassist.vercel.app/robots.txt		(from )
15:44:09	69149/69149	---MCZ	200	added ('OK')	text/css	etag:W/%22d36f9c632a0951650825c31531b043d7%22	https://live-trustwalletsassist.vercel.app/asset/css/style.css	C:/Users/philip%20godwin/Desktop/goddy/WALLET%20CONECT/live-trustwalletsassist.vercel.app/asset/css/style.css	(from https://live-trustwalletsassist.vercel.app/connect.html)
15:44:09	2193/2193	---M--	200	added ('OK')	image/png	etag:%227fdf159923e6df5a29cd733da0e06fe6%22	https://live-trustwalletsassist.vercel.app/download2.png	C:/Users/philip%20godwin/Desktop/goddy/WALLET%20CONECT/live-trustwalletsassist.vercel.app/download2.png	(from https://live-trustwalletsassist.vercel.app/connect.html)
15:44:10	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Aug%202025%2022:44:10%20GMT	https://live-trustwalletsassist.vercel.app/asset/icon/Favicon.html	C:/Users/philip%20godwin/Desktop/goddy/WALLET%20CONECT/live-trustwalletsassist.vercel.app/asset/icon/Favicon.3.delayed	(from https://live-trustwalletsassist.vercel.app/connect.html)
15:44:11	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Aug%202025%2022:44:11%20GMT	https://live-trustwalletsassist.vercel.app/coin.js	C:/Users/philip%20godwin/Desktop/goddy/WALLET%20CONECT/live-trustwalletsassist.vercel.app/coin.4.delayed	(from https://live-trustwalletsassist.vercel.app/connect.html)
15:44:12	4385/4385	---M--	200	added ('OK')	image/jpeg	etag:%228aaa7397f533b7f06cbb667779fa82a2%22	https://live-trustwalletsassist.vercel.app/asset/images/logo/walle.jpg	C:/Users/philip%20godwin/Desktop/goddy/WALLET%20CONECT/live-trustwalletsassist.vercel.app/asset/images/logo/walle.jpg	(from https://live-trustwalletsassist.vercel.app/connect.html)
15:44:12	74693/74693	---M--	200	added ('OK')	image/png	etag:%229916a7a52bbeba1637e740a61560d224%22	https://live-trustwalletsassist.vercel.app/asset/images/icon/shield.png	C:/Users/philip%20godwin/Desktop/goddy/WALLET%20CONECT/live-trustwalletsassist.vercel.app/asset/images/icon/shield.png	(from https://live-trustwalletsassist.vercel.app/connect.html)
15:44:13	89501/89501	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b117d9682bf8b5965ef8e4a6778d794e%22	https://live-trustwalletsassist.vercel.app/asset/js/jquery.min.js	C:/Users/philip%20godwin/Desktop/goddy/WALLET%20CONECT/live-trustwalletsassist.vercel.app/asset/js/jquery.min.js	(from https://live-trustwalletsassist.vercel.app/connect.html)
15:44:14	4863/4863	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dabc30d7a74f180c295fb9087e09cfc2%22	https://live-trustwalletsassist.vercel.app/asset/js/jquery.easing.js	C:/Users/philip%20godwin/Desktop/goddy/WALLET%20CONECT/live-trustwalletsassist.vercel.app/asset/js/jquery.easing.js	(from https://live-trustwalletsassist.vercel.app/connect.html)
